,Unusual
20044,0
3245,1
29625,0
14157,0
26340,1
34891,0
25501,1
12723,0
31754,0
17640,1
11301,0
13835,0
13862,1
20390,0
26935,0
6366,1
34639,0
21436,1
22462,0
20583,0
33029,0
15678,0
30390,1
8862,0
5925,0
27645,0
9886,0
13226,0
18560,1
34937,1
2490,1
13891,0
6372,0
16377,0
9039,0
22040,0
1354,0
7368,0
20136,0
11464,0
271,0
31890,0
18122,0
265,0
1429,1
15124,0
20234,0
36036,0
34692,0
923,1
22594,1
33888,0
25699,1
31852,0
6816,1
2876,0
18910,1
36240,0
4981,0
23341,0
25084,0
17028,0
8937,0
26118,0
36475,0
10603,0
3692,1
31077,0
18774,0
3465,0
28866,0
14240,0
26535,0
6442,0
14104,0
25685,0
21518,1
547,1
1926,0
558,0
10616,0
31534,0
32341,1
35059,0
30111,0
21536,0
16290,1
26973,0
15546,1
16850,0
13724,0
31062,0
7302,0
7640,1
10966,0
19453,1
23360,0
11490,0
16424,1
13228,0
21813,0
17588,0
35328,0
21341,0
36000,1
19607,0
3525,0
11847,1
27193,1
21860,0
12245,0
5905,0
10930,0
2855,0
26738,0
20619,0
18702,0
16593,1
20152,0
29878,0
35188,0
3720,0
4087,0
22283,0
11140,0
26570,0
19526,0
33481,1
6116,1
8459,0
1632,0
15266,0
10993,0
7582,0
3044,0
8379,1
23726,0
26978,0
19685,0
11380,0
27348,0
23499,0
11165,0
10288,1
9116,0
25787,0
8593,0
17884,1
358,0
16922,0
26366,0
11914,1
16413,1
17618,0
16038,0
21993,0
28040,1
31141,0
17357,1
34669,0
30013,0
33629,0
5899,0
24974,0
22111,0
25287,1
2280,1
3139,1
3648,0
33830,1
19630,0
28923,1
16946,0
31272,0
14452,1
34902,0
28169,0
25192,0
14700,0
35213,0
23328,1
33474,0
18798,0
13558,1
7534,0
33036,0
12476,1
15435,1
7731,1
11803,1
30230,1
32950,0
16810,1
27019,0
17259,0
18606,0
26224,1
30217,1
27221,1
14272,1
23482,0
27356,0
20381,0
18013,0
1023,1
29160,1
22172,1
8469,0
12910,0
23255,0
14472,0
12141,0
863,0
25036,0
13809,1
31156,0
10725,0
18631,0
34245,0
12629,0
17142,0
27388,1
30241,0
2106,1
13318,1
5520,0
4179,0
1916,0
27796,1
18547,0
24042,1
34635,0
7493,0
13128,1
19252,0
12936,0
2812,1
12360,1
15013,0
19765,0
25956,0
21567,1
7525,0
7495,0
34029,0
21740,0
26673,0
18069,0
19462,0
23602,0
5516,0
13266,0
4961,0
776,0
19277,0
36562,0
19075,0
33240,1
4031,0
25509,0
36537,0
7747,0
12284,0
15399,1
28513,0
34914,0
30709,0
30176,1
29848,0
11020,0
21258,1
13864,0
35623,0
7443,1
27559,0
6470,0
9785,0
15474,0
14481,0
16604,1
25913,0
10131,1
27934,0
2435,0
36847,1
272,0
36836,1
1045,0
32238,0
27187,0
28614,0
28082,0
14725,1
13840,0
33922,0
14590,0
14709,0
151,0
31768,1
8305,0
14672,0
27827,0
27384,0
15732,1
34449,0
33073,1
19319,0
33124,0
31408,0
5871,0
19356,0
8462,0
25426,1
7540,1
28975,0
33002,0
31286,0
26720,0
2757,0
9297,1
8219,1
28929,0
32606,0
2912,1
10162,0
5192,1
2252,1
9913,1
33353,0
16400,0
36446,1
9045,1
24424,1
9333,0
671,1
24162,1
21538,0
1866,0
9506,0
7862,0
1834,0
16860,1
36285,0
34032,0
16863,0
21978,0
10786,1
22403,0
31229,1
17138,0
27639,0
27107,1
20668,0
5605,1
24260,0
26176,0
17311,1
2328,1
5369,0
17400,0
16438,1
28830,1
5359,0
18990,0
12386,0
23591,0
4029,0
21821,1
15377,1
9153,1
32347,0
1505,0
36246,1
24298,0
24882,0
23472,1
12724,1
23977,0
5768,1
28415,1
10186,1
25700,0
10762,1
4183,0
15022,1
7086,0
10978,0
29703,0
35329,0
13366,1
26960,0
22479,1
15009,0
2982,1
29134,1
29362,0
3546,0
35869,1
26024,0
33411,0
9615,1
8312,0
31317,1
23101,0
24045,0
27829,0
34491,0
36513,0
24382,0
33849,1
32502,0
24431,0
21384,0
25901,0
16447,1
5214,1
3447,1
18026,0
21325,0
21715,0
14376,1
10579,0
11754,0
12972,1
6497,0
7634,0
11121,0
26816,0
29957,1
20584,1
27919,0
32997,0
31555,1
2951,1
19693,0
31338,0
36565,1
10575,1
11328,0
32688,0
26599,1
14665,0
6465,1
36156,1
29185,0
34384,0
12406,0
8260,0
22471,0
26113,0
30748,0
19689,0
3046,0
30063,0
19153,0
34017,1
16011,1
19172,1
30550,1
30566,0
8154,1
12545,1
35219,0
24193,0
31059,0
32846,0
3713,1
14624,0
24677,1
5452,0
30953,1
17706,0
9761,1
19958,0
27821,0
87,0
16799,0
2448,0
22922,1
32373,1
18979,1
17694,0
783,1
15854,0
16079,1
18168,0
3279,1
19558,1
10768,0
30103,0
21999,0
11062,0
13979,0
33414,1
21577,0
20995,1
22933,0
14211,1
18326,0
15761,1
20092,0
19571,0
16442,1
21146,0
11989,0
4429,0
12059,1
19797,0
7422,1
26608,0
36261,1
28626,1
35066,0
10332,0
324,0
24590,1
14982,0
626,1
1600,0
3724,0
34608,0
2497,0
16291,1
4937,0
3979,0
15358,0
32411,0
22691,1
19636,1
35222,0
9850,0
28022,0
11736,0
28589,0
11336,0
6990,1
28318,0
1666,1
24856,1
3788,0
12167,0
9148,0
33115,1
29828,0
32805,1
26575,1
11203,0
21507,0
27004,1
7935,0
18498,0
15647,0
22214,1
23794,0
5429,0
3289,1
31915,0
4094,0
23279,1
6113,0
6029,0
1741,0
19230,1
36264,1
14074,0
21748,0
6079,1
2633,0
20199,1
29656,0
25909,1
10479,0
36125,1
22229,0
35557,1
8756,1
4109,0
994,1
27995,0
24725,1
7588,0
13336,0
7004,0
4176,1
8580,0
9582,1
20872,0
32229,0
33771,0
5510,0
18735,0
22506,0
8447,0
27844,0
35368,0
9871,0
29521,0
25336,0
25335,1
1083,0
29504,0
27648,1
28379,1
15129,0
28773,0
557,0
20537,0
15042,0
29164,0
17155,0
764,1
35555,1
10705,0
1358,0
31228,1
26757,1
33275,0
5997,0
8927,0
18592,0
21016,1
17514,0
3277,0
17210,0
769,0
32476,0
5291,0
32949,0
28197,0
14347,1
4671,0
3666,0
16601,0
9495,0
29720,0
24137,0
25963,0
35499,1
8742,0
15530,0
36498,0
23291,0
24829,0
36678,0
23736,0
26114,0
30870,1
31133,0
18438,0
7655,0
34396,0
6914,0
33209,0
24037,0
28234,0
28211,0
34155,0
26249,0
23661,0
15791,0
25887,0
10412,0
1408,1
2117,0
18215,0
2444,0
35855,0
27011,0
25045,1
26137,0
36902,0
27703,0
23998,0
5876,0
14066,0
25674,1
32392,0
21771,0
18856,0
11531,0
2310,0
18601,0
27653,0
13932,0
19203,1
19766,0
15923,0
19772,0
10796,0
12754,1
5105,0
3643,0
12996,0
24272,0
26610,1
7102,1
4972,1
6579,0
16190,1
32813,0
20602,1
19774,1
2166,0
21515,0
18507,1
7307,0
31860,0
22148,0
30038,0
28046,0
31597,1
28690,1
7463,0
10127,0
15264,1
31210,1
21641,0
2647,0
32182,0
23196,0
13795,0
16710,1
1924,0
13533,1
31933,1
25028,0
21754,1
16536,1
11610,0
2044,0
9789,0
32000,0
10451,0
22239,0
33343,0
17136,1
967,1
17741,0
4929,1
19036,0
2037,0
24563,0
19502,1
9382,0
6756,1
6999,1
20061,0
22257,0
16494,0
35214,0
25856,0
107,0
709,0
22004,0
2571,0
20496,1
5805,0
7519,0
2665,1
14591,1
3417,0
23869,1
10486,0
29918,0
28122,1
15486,0
10240,1
15464,1
25077,0
3274,0
32629,0
17436,0
21351,1
22723,0
5375,0
7626,0
25236,0
14231,1
28505,0
10635,0
17874,0
12968,0
36077,0
30733,0
5489,1
5231,1
3379,1
32515,1
23505,0
20320,1
1272,0
28394,0
7841,0
19602,0
29368,0
18634,0
4624,0
18616,0
27819,1
34547,1
17257,1
18491,0
19367,0
34082,0
19428,1
12055,0
26115,1
20351,0
14609,0
24977,1
17005,1
32370,0
13431,0
27964,0
29372,1
17143,0
11393,0
27605,1
22202,1
19276,0
35119,0
21057,1
20662,0
11507,0
36370,0
4637,0
29014,0
9279,0
36758,0
31755,0
33831,1
31612,0
18376,0
8861,0
11402,1
31419,1
8375,1
28388,0
8012,1
19128,0
27371,0
22008,0
1675,1
32485,0
859,1
31707,1
32126,0
11014,0
35452,1
31662,0
11987,1
4261,0
24796,1
6417,1
14643,0
18098,1
1294,0
14918,1
36238,1
18665,0
11076,0
17064,1
28815,0
32082,0
12952,0
28268,0
9842,1
8670,0
7429,1
7064,0
33267,1
16084,1
35110,0
5754,0
33968,0
23945,0
787,0
3313,0
16568,0
21774,0
27118,1
14304,0
26826,0
21750,0
32340,0
31368,1
161,0
21880,0
7479,0
18595,0
25635,0
25691,0
27709,0
15826,0
4483,0
8229,0
26691,0
1409,0
17503,1
31997,1
32043,0
28848,0
24980,0
22944,0
19669,1
36329,0
32858,0
28509,0
26042,1
46,0
14230,0
31364,0
23618,1
15137,1
20540,0
24759,0
7056,0
7659,1
15618,0
18434,0
14581,0
30229,0
18358,0
29078,0
35461,1
7217,1
22882,1
32753,0
13427,0
18065,0
33259,0
27838,0
18476,0
11705,0
14046,0
26571,0
30011,0
1613,0
32094,0
3361,0
31704,0
12058,1
2702,0
17871,0
30248,0
4342,0
28288,0
26971,0
32361,0
4212,0
18248,0
11867,0
19261,0
9970,0
22646,1
32337,0
13211,0
19979,0
12270,1
4243,1
17623,1
20730,1
12409,1
4240,0
13510,0
21482,1
7430,0
8015,0
6798,0
7373,1
11239,0
5040,0
25697,1
3574,0
8744,1
22625,1
23839,0
8622,0
20113,1
12711,0
9449,0
28204,0
8773,1
14493,0
1587,0
4085,0
17611,0
10087,1
20430,0
24948,0
19472,0
3140,0
11139,0
16267,1
28673,0
21082,1
27865,0
14567,0
2581,0
23547,0
3363,0
23776,0
705,0
16388,0
3765,0
36628,1
19830,0
27952,1
12015,0
3704,1
2092,0
24480,1
33087,0
19586,0
29974,0
1823,0
7773,0
22358,0
22529,0
18826,0
35767,0
15055,0
437,0
27528,0
26048,0
29380,0
19695,0
35844,1
21153,1
28780,0
14135,1
25042,0
30175,0
29318,0
15658,0
1426,0
1848,1
29651,0
4363,0
12685,0
3650,0
20109,1
18853,0
31725,0
33117,1
13140,1
13448,0
10750,0
13775,0
1797,0
28028,1
23045,1
16797,0
1057,0
16111,0
20437,0
11908,0
4255,1
1609,0
28109,0
22513,1
12762,1
28580,1
18538,1
32222,0
17896,0
30989,0
34487,0
11231,1
22881,0
10161,0
1836,1
7322,0
19068,0
3896,0
12212,0
21910,0
462,0
5443,0
22569,0
4645,0
2006,0
2138,0
19535,0
15086,0
22029,0
33139,1
22985,0
616,0
4555,0
17832,0
32722,1
17102,0
35599,0
12769,0
16724,0
7721,1
208,1
21306,0
12235,1
7980,0
11523,0
34701,1
24883,1
28271,0
6811,0
5858,0
7084,0
12005,1
26449,1
21926,0
32360,0
2909,0
21782,1
32491,1
2371,0
2811,1
6835,0
24742,0
10730,0
22685,0
11013,0
30959,0
10854,1
12628,0
4692,0
19789,0
3965,0
17317,1
13307,0
7717,1
27115,1
11539,1
8740,1
27737,0
18015,0
3819,0
30244,0
19467,0
23073,0
17857,0
10933,0
33753,1
648,0
19646,0
11494,1
34903,0
27001,0
28582,1
35564,1
36581,1
21072,0
24851,0
17583,1
19118,1
8698,0
5533,0
10136,1
1430,0
132,0
29445,0
31281,0
3824,0
24625,1
29784,0
25021,0
32436,1
24830,0
4536,1
25248,0
7697,1
8891,0
17081,1
14247,0
8579,0
13364,0
10070,0
30520,0
11923,0
14474,0
361,0
1898,0
18939,0
7732,0
32990,0
28942,0
24258,0
34677,1
3556,0
34243,1
16866,1
19834,0
27273,0
2844,0
12925,1
21242,0
582,1
30690,0
9379,0
28985,0
12807,0
22500,0
5544,1
6066,0
29544,1
1446,1
32448,1
8702,0
31161,0
15664,1
8791,0
13814,1
1733,1
12461,0
1183,0
2857,0
26184,0
12851,0
34176,0
25571,0
15278,1
5970,0
15442,0
8960,0
34358,1
14838,0
28883,0
16802,1
17269,0
35299,0
18624,1
33776,0
22699,0
25615,0
21421,0
31224,0
11269,0
33718,0
9823,0
3229,0
26707,1
18835,0
11842,0
3791,0
21267,1
10366,1
14383,0
31107,1
4233,0
17026,0
6250,0
31526,0
27088,0
31445,0
23644,1
28101,0
28397,0
6795,1
4134,0
2285,0
10598,1
11578,1
4229,0
36369,0
30798,0
35765,0
33452,1
18877,0
4617,1
19175,1
2359,0
15938,0
18855,0
21763,1
22730,0
24817,0
5600,0
20863,0
1822,0
14343,0
3070,0
11822,0
34434,0
24044,0
25369,0
24594,0
12428,0
5464,0
7239,1
10929,1
11729,0
4667,0
12589,1
21014,0
28905,0
5329,1
337,0
20743,0
30086,1
10636,1
27832,0
223,1
28571,0
32836,0
26201,0
35507,0
27100,0
24701,0
3424,0
22097,0
28398,0
14237,0
34450,0
22782,1
29111,0
28725,0
25296,0
34387,0
8826,0
20704,0
15589,0
10416,0
34728,0
7240,0
24153,1
18950,1
9056,0
23852,0
22811,0
15918,0
3359,0
13750,0
15661,0
11532,0
13523,0
34096,0
16587,0
16893,0
20124,1
29082,0
29645,0
10896,0
32465,0
35404,0
18191,1
36066,0
21552,1
22530,0
11975,0
1635,0
15723,0
13884,0
17634,1
20917,0
20202,1
29279,1
1297,0
21571,0
36671,1
31818,0
18563,0
14009,0
24914,0
27678,0
24346,1
9043,0
15591,0
14457,0
28449,1
20758,0
33380,0
7214,0
9008,1
33902,0
6560,0
14027,0
11999,0
30205,0
28171,0
18028,0
4046,1
34273,0
26428,1
15694,0
22798,0
34400,0
19547,0
13122,0
10217,0
1239,0
29526,0
22668,0
17516,0
15045,1
31869,0
27454,0
30145,1
28544,1
13658,1
8720,0
5841,0
520,0
29663,0
5566,1
14491,0
4541,1
14819,0
3212,0
8786,0
20111,0
16598,0
4080,0
34854,0
35471,0
12740,0
3112,0
10188,0
22003,0
28924,0
6930,0
14020,1
14642,0
34675,1
9339,1
13906,0
1625,0
26923,1
10129,1
33181,0
11963,0
2168,1
31402,0
17244,1
35378,1
26636,0
10256,1
14943,0
16858,0
29852,0
4433,0
16443,1
8729,0
5174,0
30020,0
17655,0
32369,0
21112,1
23063,0
8347,0
17749,0
25338,0
1289,0
9190,0
35431,0
33056,1
22,0
5441,1
36184,0
34851,0
14344,0
27311,1
9509,1
29449,1
14351,1
8783,0
23027,0
31255,1
4631,0
10968,0
23424,1
9120,1
2231,1
27469,0
12826,1
32875,0
25870,0
26092,1
33547,0
31623,0
30615,0
8596,1
12334,0
33488,0
8265,0
3889,0
6808,0
35915,1
32760,1
26116,0
17920,0
24128,0
24219,0
28647,1
14950,0
5373,0
1319,0
22377,1
4388,0
17469,1
29891,0
12286,1
13187,0
2885,0
13782,0
29646,0
29253,0
33199,0
28081,1
6156,1
9068,0
17725,0
14822,1
26513,0
25815,1
27246,0
10359,0
34576,0
29787,0
14032,0
5282,0
13645,0
11684,0
13335,1
14595,0
15448,1
3033,1
12331,0
13322,0
5777,1
34079,0
17258,1
2738,0
10617,0
21123,0
36869,0
34845,0
6121,0
25492,0
29366,0
10693,0
15236,0
32869,0
9203,0
23133,1
36658,0
34307,1
28327,0
33445,0
27248,1
25608,0
3776,0
9288,1
2188,1
7344,0
34410,0
34553,1
6575,0
326,0
26197,1
2609,0
20611,0
17374,0
15595,0
35712,1
19916,1
18251,0
32682,0
3863,0
2628,1
13317,1
5190,0
20776,1
264,1
34349,0
16887,1
15629,1
10608,0
27332,1
17427,0
35529,1
17226,0
587,0
12083,1
9997,0
10828,0
19940,0
1807,0
727,0
27179,0
3404,1
511,1
27665,0
30982,1
27711,0
30131,1
33948,1
34285,0
13030,0
12772,0
10553,0
714,1
29975,0
28308,1
28516,0
5383,0
11155,1
18302,1
34289,0
28808,1
16938,1
9222,0
33624,1
528,1
29263,1
35165,0
13520,0
925,1
4129,0
9734,0
9907,1
29893,0
20333,0
5414,0
33143,1
22174,0
22769,0
27571,1
36364,0
805,1
1517,1
28131,0
12004,0
24936,0
31447,0
14225,0
29987,0
15479,0
32097,0
17505,0
6630,0
7195,0
14503,0
25551,1
6931,1
8491,0
15607,0
20138,0
34760,0
24753,1
7257,0
25746,0
25931,1
35718,1
32312,0
23724,0
17117,0
9639,1
8823,0
8743,0
34118,0
29349,0
21304,1
28306,1
32972,0
16572,0
17932,0
16891,0
16746,1
1457,0
17091,0
2500,1
8235,0
10419,0
34661,0
8237,0
27101,0
13699,1
9368,0
27213,0
37,0
11383,0
28871,0
13017,0
30951,0
29038,0
36437,0
16679,0
20654,1
11100,0
18936,0
11440,0
1231,0
32601,1
12571,1
24223,0
9927,1
2241,1
14033,0
28427,0
7568,1
20725,0
36468,1
12607,0
16658,1
19724,0
9090,1
14164,0
29458,0
22886,0
10639,0
13834,0
5517,1
13107,0
7382,0
32473,0
12050,0
27262,1
15535,0
976,0
26124,1
35824,0
3943,1
13021,1
473,0
17772,0
30409,0
35190,0
3586,0
24911,0
9742,0
23407,1
1919,0
35997,1
28025,0
20998,0
22093,0
9962,0
1577,0
19511,1
36098,0
22971,0
27903,1
25047,0
14794,0
22456,0
12737,0
14955,0
14421,0
23310,0
13981,1
33370,0
36772,0
22323,0
11479,0
16578,0
27412,0
33487,0
26481,1
21982,1
29288,1
7156,0
24203,1
23037,0
19082,0
16549,0
15630,0
10501,1
34720,0
6936,1
4083,0
13216,0
25612,0
784,1
35026,1
4392,0
28625,1
3479,0
36532,1
21640,0
33944,0
8405,0
35966,0
5186,1
10071,0
26452,0
5714,0
11469,1
13338,0
12736,1
24104,1
1553,1
23486,1
30124,1
7762,1
14497,0
36494,1
20480,0
16192,0
117,1
3717,1
36385,0
3515,1
28107,0
31290,0
24632,0
13325,0
12311,0
5987,0
23581,0
24710,0
36344,0
4820,1
18126,0
3321,0
24940,0
16930,0
33443,0
15714,0
23641,0
26166,1
9489,1
25328,0
29532,1
25277,0
32563,0
24949,0
18924,0
689,1
10648,1
29563,1
27841,1
16846,0
11929,1
33666,0
14788,0
29628,0
36870,0
34386,0
23461,1
30927,0
8685,0
3554,1
18113,0
24007,0
30802,1
21864,0
5485,0
16457,1
31131,0
29339,0
17574,1
13304,0
645,1
31428,0
29582,0
31416,0
30942,0
36584,1
29829,1
26078,1
16453,0
2574,0
9877,0
32943,0
34770,0
8836,0
3448,0
19828,0
2692,0
35011,0
27009,0
3814,0
19790,0
7173,0
6923,0
29157,0
16828,0
13434,0
9314,1
21721,0
35304,0
23326,0
9807,0
25030,1
33587,0
21942,0
8691,0
30886,1
36166,0
5390,0
28598,0
34539,0
5264,0
33176,1
8989,0
22959,0
20361,0
18541,0
32556,0
5083,0
24556,0
11799,0
4303,0
19598,1
26997,0
10965,1
11206,0
18079,1
3249,0
8536,1
19674,0
23585,0
19108,0
20646,1
28188,0
13131,0
307,0
1786,0
28497,1
3660,1
6293,0
10627,0
11682,0
2281,0
15008,0
23529,1
14334,0
27595,0
14258,0
7865,1
28401,0
11019,0
23555,0
29,1
2681,0
8642,0
4456,0
34072,1
27346,0
16530,0
10533,0
34849,1
23109,1
19358,0
5387,0
3715,0
35292,0
2594,0
15562,0
25914,1
31687,0
8478,0
27965,0
17750,0
11838,0
27619,1
15917,0
6120,0
28370,1
34980,0
30912,0
12882,0
7168,1
30380,0
29219,0
30019,0
1933,0
2584,0
3110,0
13817,1
31999,0
17015,0
31865,0
14381,0
17560,0
3085,0
16823,0
29896,0
5278,0
18698,0
33238,0
26190,0
4202,0
1624,0
5170,0
12753,0
5659,0
14192,0
27593,1
35922,0
5817,1
10774,0
36855,0
11154,0
2158,1
1322,0
23342,0
519,1
30527,0
36850,0
5917,0
17113,0
1350,0
21410,0
4491,0
19584,0
18347,1
9466,0
28091,1
12732,1
6615,0
5757,1
10767,1
34480,0
16123,0
1474,0
22817,0
18741,0
24651,0
9536,0
28250,1
26845,0
27164,0
13773,0
25579,1
16680,0
1816,0
33486,0
9304,0
34581,0
22810,0
14601,0
30119,0
31136,1
36481,0
23289,0
13826,0
23314,0
32299,0
27924,0
6663,0
10733,0
31379,0
27719,1
25376,0
6888,1
12445,0
31014,1
17542,0
27143,1
24152,1
16563,1
29585,0
35956,1
8262,0
28653,1
13331,0
20636,0
22987,0
12559,1
17247,1
