,Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL
18189,16:00,8CLTE,5.457,0.707,0.117,0.021,2.22,0.211,1.071,1.021,3,2,5
1480,18:45,6VLTE,2.294,6.2773,0.9383,0.0502,13.6862,0.8196,1.345,0.0106,6,4,10
31719,4:00,9ALTE,0.101,0.404,0.011,0.005,0.047,0.018,1.011,1.011,1,1,2
6619,15:30,9BLTE,10.105,0.808,0.091,0.049,4.318,0.769,1.091,1.041,4,3,7
23043,21:45,8CLTE,4.143,0.808,0.203,0.022,4.819,0.336,1.061,1.021,3,3,6
25807,0:15,8BLTE,4.244,0.808,0.225,0.044,11.363,0.464,1.112,1.031,4,3,7
16171,17:00,6ULTE,1.314,1.516,0.165,0.027,6.251,0.606,1.122,0.01,4,3,7
10391,12:00,2ALTE,0.404,0.404,0.134,0.038,2.254,0.523,1.011,0.01,2,1,3
12248,2:00,7VLTE,0.7362,2.3684,0.6661,0.0399,36.0131,0.5703,1.1413,0.0102,6,3,9
16732,17:15,7BLTE,0.6079,1.3187,0.4621,0.1413,18.6741,15.4424,1.2397,0.01,5,3,8
31332,19:15,4CLTE,17.886,2.324,0.568,0.058,27.006,0.478,1.273,1.213,5,5,10
9038,15:15,4ALTE,7.68,1.819,0.522,0.038,41.521,0.712,1.142,1.061,3,3,6
12444,20:45,6CLTE,12.227,1.415,0.524,0.047,11.813,0.613,1.162,0.01,5,3,8
22772,6:45,6BLTE,5.0994,0.8367,0.1754,0.0277,5.5683,0.3757,1.0809,0.0107,4,3,7
35271,23:30,6ALTE,4.244,0.606,0.098,0.021,3.637,0.391,1.051,0.01,3,2,5
2664,9:45,7VLTE,0.5339,1.9208,0.3415,0.0232,20.1004,0.5664,1.1294,0.0102,4,2,6
14972,13:45,1BLTE,17.077,1.415,0.287,0.049,6.237,0.745,1.243,1.101,6,4,10
8810,12:30,8BLTE,22.433,3.537,0.87,0.112,37.584,1.133,1.415,1.223,7,5,12
3423,3:00,6CLTE,0.808,0.404,0.014,0.009,0.298,0.179,1.021,0.01,2,1,3
10158,11:45,8CLTE,2.8814,0.6257,0.1439,0.0211,20.2056,0.3861,1.0836,1.0451,3,3,6
10226,3:30,7WLTE,0.398,1.53,0.1392,0.0144,7.3283,0.3588,1.156,0.0101,4,3,7
9441,14:30,7CLTE,0.606,1.718,0.711,0.061,15.851,1.073,1.223,0.01,5,3,8
21613,8:30,9ALTE,3.436,0.606,0.13,0.028,3.482,0.448,1.101,1.021,4,3,7
13498,6:45,7VLTE,1.415,1.112,0.212,0.289,11.943,5.177,1.041,0.01,3,2,5
23655,19:45,1BLTE,20.008,2.324,0.662,0.114,30.21,1.102,1.536,1.172,7,5,12
19944,13:30,7ALTE,0.505,1.314,0.344,0.056,16.344,3.448,1.213,0.01,4,3,7
24750,14:45,7BLTE,0.606,1.617,0.695,0.077,26.105,2.114,1.415,0.01,6,3,9
24015,3:45,7CLTE,0.0,0.404,0.02,0.01,0.316,0.23,1.021,0.01,2,1,3
7383,11:30,9ALTE,3.2664,0.7353,0.2156,0.0509,4.7293,1.1246,1.0553,1.0324,4,2,6
8124,20:15,9ALTE,6.265,0.606,0.067,0.017,9.022,0.328,1.091,1.021,4,2,6
24868,5:45,7ULTE,0.6014,7.019,1.0662,0.051,14.6895,0.563,1.097,0.0106,3,2,5
15776,21:00,4CLTE,22.938,5.457,1.513,0.109,27.731,1.59,1.455,1.223,6,6,12
6742,23:00,5CLTE,8.589,1.516,0.462,0.037,10.379,0.633,1.112,1.031,4,3,7
35927,17:45,1ALTE,22.534,4.042,1.062,0.105,44.227,1.458,1.425,1.172,6,4,10
9840,13:45,10CLTE,5.5419,0.701,0.1916,0.0279,20.3676,0.7374,1.124,1.0599,4,3,7
36879,4:45,7CLTE,0.0,0.4264,0.024,0.012,0.4409,0.2409,1.0503,0.0106,3,1,4
36834,8:30,3BLTE,6.5762,0.7958,0.228,0.0209,9.1661,0.3513,1.0961,1.0431,3,2,5
21107,4:15,8ALTE,2.425,0.606,0.247,0.025,2.98,0.431,1.031,1.011,3,2,5
5248,0:15,7VLTE,1.011,3.436,0.333,0.03,20.93,0.376,1.172,0.01,5,3,8
44,22:15,4BLTE,24.252,3.335,1.476,0.13,87.112,1.353,1.445,1.122,6,5,11
26842,4:45,7ALTE,0.101,0.606,0.191,0.035,12.469,0.455,1.041,0.01,3,2,5
12850,11:45,3BLTE,20.109,3.133,0.817,0.096,26.209,0.929,1.394,1.162,6,4,10
26794,19:45,6ULTE,1.415,2.425,0.519,0.062,11.464,1.806,1.324,0.01,5,2,7
31333,0:30,5BLTE,10.004,1.314,0.226,0.026,9.227,0.715,1.081,1.041,3,3,6
7167,15:15,2ALTE,0.1005,0.4155,0.0052,0.0157,0.0082,0.0235,1.0289,0.0105,1,1,2
20017,2:45,9BLTE,1.2293,0.4252,0.0858,0.015,5.6609,0.2679,1.0773,1.0021,2,3,5
6925,18:00,1CLTE,26.8137,3.8158,0.9143,0.109,26.8413,1.8338,1.5505,1.4054,8,6,14
3455,9:15,4CLTE,7.7812,2.2179,0.7986,0.0697,24.8704,1.0925,1.247,1.0536,5,3,8
28593,16:15,3BLTE,22.13,5.76,1.636,0.118,34.859,1.249,1.627,1.283,8,5,13
9872,20:30,4ALTE,7.68,2.324,0.808,0.069,22.386,0.598,1.202,1.031,5,3,8
3228,11:45,6BLTE,15.966,1.617,0.368,0.054,14.249,5.044,1.213,0.01,5,3,8
22546,10:00,2ALTE,0.606,0.404,0.097,0.024,5.446,0.785,1.021,0.01,2,1,3
6216,9:15,10ALTE,31.224,7.276,2.294,0.184,29.327,1.231,1.667,1.263,8,6,14
30583,5:30,9ALTE,0.606,1.213,1.757,0.024,20.762,0.326,1.011,1.011,1,1,2
22392,9:15,2ALTE,0.303,0.404,0.02,0.01,0.213,0.072,1.021,0.01,2,1,3
8975,21:45,5ALTE,5.356,1.617,0.338,0.041,6.834,1.027,1.132,1.051,4,3,7
16879,20:00,6ULTE,3.941,4.345,0.62,0.079,11.233,0.804,1.374,0.01,6,4,10
14446,6:45,3CLTE,1.213,0.606,0.359,0.009,3.915,0.056,1.041,1.011,2,2,4
6701,5:30,10ALTE,1.9109,0.5257,0.0291,0.0143,1.0603,0.1599,1.0254,1.0271,4,2,6
8827,3:00,5CLTE,3.436,0.404,0.019,0.054,3.069,2.407,1.071,1.021,3,2,5
17702,16:30,5BLTE,34.66,2.93,0.747,0.181,36.856,2.254,1.556,1.354,6,6,12
22748,3:15,8BLTE,1.112,0.707,0.554,0.038,25.285,1.191,1.011,1.011,2,1,3
20961,11:45,1CLTE,24.454,2.526,0.519,0.084,8.313,0.566,1.405,1.344,7,6,13
23550,0:15,9BLTE,1.2487,0.626,0.1546,0.0122,19.6317,0.2161,1.0408,0.9961,2,3,5
27651,0:15,1ALTE,12.748,1.8354,0.4569,0.0598,11.8532,3.0605,1.2585,1.0502,6,4,10
31211,1:00,5CLTE,5.457,0.606,0.11,0.019,10.085,0.715,1.071,1.011,3,2,5
2480,9:30,5BLTE,35.165,5.356,2.222,0.187,45.147,1.315,1.677,1.324,8,6,14
8128,0:00,1CLTE,32.639,3.234,0.762,0.262,17.713,0.957,1.778,1.455,7,6,13
10877,16:15,7CLTE,0.606,2.324,0.751,0.042,20.14,0.87,1.192,0.01,4,3,7
34399,16:00,7VLTE,1.819,3.335,0.404,0.061,16.32,1.175,0.0,0.0,0,0,0
12578,21:45,3ALTE,11.014,1.415,0.359,0.045,6.574,0.42,1.213,1.112,5,4,9
14236,19:45,4BLTE,24.858,7.68,2.338,0.173,38.951,2.012,1.708,1.233,8,6,14
22824,21:30,3ALTE,8.084,0.909,0.16,0.029,19.802,1.079,1.081,1.112,4,3,7
32639,15:45,6ALTE,12.934,2.021,0.492,0.054,24.896,0.889,1.162,0.01,5,3,8
16501,18:00,9BLTE,3.638,3.739,0.49,0.028,2.745,0.19,1.112,1.041,4,3,7
11678,12:45,6VLTE,1.5963,2.8958,0.498,0.0519,20.3731,1.4891,1.1726,0.0107,7,4,11
13885,19:15,1BLTE,17.28,2.122,0.621,0.101,20.322,1.284,1.334,1.091,6,4,10
26006,6:30,6WLTE,0.404,1.011,0.174,0.016,10.146,0.447,1.051,0.01,3,2,5
15423,2:00,5ALTE,1.415,0.404,0.052,0.007,1.621,0.247,1.021,1.011,2,2,4
12856,9:45,4CLTE,13.642,2.627,0.437,0.049,12.757,0.577,1.213,1.192,5,4,9
2848,12:45,7ALTE,0.2139,0.5008,0.0932,0.0267,4.8785,0.2538,1.1116,0.0104,3,2,5
9431,8:00,7ULTE,0.909,2.021,0.575,0.062,54.825,1.907,1.162,0.01,5,4,9
23445,7:15,1CLTE,11.722,1.415,0.32,0.033,38.112,0.803,1.101,1.041,4,4,8
34066,18:15,5CLTE,33.549,2.93,0.737,0.391,25.498,1.464,1.475,1.334,8,6,14
22396,4:15,7ALTE,0.0,0.606,0.248,0.012,1.154,0.099,1.031,0.01,2,2,4
3917,18:00,7BLTE,0.3979,1.1358,0.3303,0.0432,8.759,0.5785,1.3304,0.0107,5,4,9
12191,21:45,6VLTE,2.425,3.739,0.468,0.057,11.509,0.458,1.384,0.01,8,4,12
18643,2:30,9ALTE,0.707,0.404,0.046,0.012,1.193,0.185,1.011,1.011,1,1,2
19294,14:30,7CLTE,0.4027,2.1274,1.6672,0.0876,32.1143,0.9512,1.2129,0.0106,5,3,8
30464,3:15,1ALTE,1.617,0.404,0.041,0.012,1.352,0.249,1.011,1.011,2,2,4
19321,23:00,5CLTE,10.004,0.909,0.211,0.038,12.823,3.138,1.122,1.021,4,3,7
12397,13:30,7ULTE,3.234,8.589,1.169,0.104,18.387,2.157,1.405,0.01,6,4,10
2005,5:45,7BLTE,0.2023,0.9057,0.2421,0.031,12.223,0.7291,1.1696,0.0102,6,2,8
1286,19:30,10BLTE,6.669,1.011,0.227,0.045,5.632,0.646,1.162,1.041,4,3,7
18550,4:30,3BLTE,5.962,1.011,0.27,0.033,16.873,0.57,1.162,1.021,4,2,6
6984,13:30,1CLTE,29.81,3.739,1.046,0.156,32.852,1.274,1.576,1.374,9,6,15
30941,14:00,3BLTE,20.21,2.324,0.774,0.093,38.496,1.127,1.516,1.213,6,5,11
25895,18:45,8BLTE,18.088,3.638,1.03,0.09,18.809,1.225,1.374,1.314,7,6,13
1173,2:00,1CLTE,16.976,1.112,0.271,0.049,8.424,0.322,1.202,1.112,5,4,9
26117,13:15,6WLTE,2.627,3.335,0.286,0.103,8.063,1.14,1.435,0.01,6,4,10
28643,2:15,4ALTE,4.244,0.606,0.064,0.012,6.611,0.278,1.041,1.021,3,2,5
8604,12:15,4BLTE,17.1014,2.0222,0.5055,0.0619,18.1793,1.0423,1.2634,1.0722,5,3,8
35921,7:45,7ALTE,0.1024,0.7449,0.6714,0.0264,50.0436,1.6625,1.0514,0.0104,4,2,6
34275,14:30,5ALTE,13.844,3.941,1.069,0.069,53.194,0.854,1.243,1.081,5,5,10
31908,22:00,4ALTE,6.669,1.112,0.198,0.041,8.622,1.114,1.122,1.041,5,4,9
19353,13:30,3ALTE,29.709,5.76,1.949,0.181,40.756,2.264,1.819,1.314,10,6,16
1377,4:45,8ALTE,4.042,0.707,0.224,0.023,14.117,0.325,1.071,1.021,3,2,5
3411,8:00,7BLTE,0.101,0.606,0.123,0.035,10.143,12.325,1.132,0.01,4,2,6
2382,12:15,8ALTE,25.97,3.739,1.279,0.152,27.859,7.934,1.485,1.182,7,5,12
26458,9:15,9ALTE,14.046,1.718,0.326,0.045,12.612,0.694,1.213,1.061,6,4,10
31409,12:15,6CLTE,9.297,0.707,0.069,0.021,3.73,1.113,1.071,0.01,4,3,7
599,8:00,3CLTE,5.356,0.707,0.122,0.026,4.526,0.949,1.061,1.021,3,3,6
6044,17:15,10ALTE,6.972,0.606,0.067,0.016,5.622,0.276,1.071,1.031,3,3,6
27260,18:15,7BLTE,0.404,2.324,0.776,0.053,34.125,1.738,1.263,0.01,6,3,9
33158,22:45,7ULTE,0.606,1.718,0.191,0.023,5.903,0.326,1.071,0.01,3,2,5
35425,12:15,6WLTE,1.386,2.6522,0.4344,0.0427,8.7319,0.4644,1.1578,0.0105,5,4,9
34379,11:00,8BLTE,19.806,4.042,1.317,0.216,60.003,23.328,1.354,1.172,6,6,12
28273,5:30,6BLTE,3.234,0.505,0.093,0.035,6.147,6.137,1.041,0.01,3,2,5
33866,11:00,8BLTE,19.907,2.425,0.655,0.082,17.185,0.801,1.394,1.152,7,5,12
25939,14:30,3CLTE,11.014,1.011,0.194,0.039,4.601,0.577,1.162,1.061,4,3,7
12477,1:15,4BLTE,10.509,1.415,0.498,0.029,16.416,0.826,1.152,1.031,5,2,7
29739,12:30,6CLTE,6.669,1.2064,0.3196,0.0356,14.4726,0.4745,1.0819,0.0105,5,2,7
26069,14:30,7CLTE,0.2094,3.0955,1.5462,0.0556,22.8559,0.5711,1.1326,0.0103,3,2,5
22664,16:00,8ALTE,17.6772,2.3762,0.8762,0.1019,24.5691,2.4205,1.3465,1.2312,6,5,11
5595,15:15,6WLTE,2.5179,4.2007,0.5412,0.0671,15.3878,1.2475,1.2658,0.0105,6,4,10
17612,5:30,7BLTE,0.103,0.7229,0.0934,0.0255,8.7221,0.416,1.1069,0.0103,6,2,8
20292,2:30,6WLTE,0.303,1.112,0.151,0.024,4.404,0.414,1.031,0.01,2,2,4
28904,8:30,3BLTE,9.297,2.728,0.297,0.031,9.765,0.384,1.122,1.041,4,3,7
25575,3:00,6WLTE,1.3025,6.699,1.3761,0.042,25.8866,0.6625,1.121,0.0104,4,5,9
4316,5:15,5ALTE,0.606,0.404,0.017,0.004,0.326,0.04,1.011,1.011,1,1,2
26651,1:15,7CLTE,0.0,0.4032,0.0676,0.0145,2.6036,0.2055,1.0449,0.0106,2,3,5
30803,18:30,7CLTE,0.3065,1.1754,0.7518,0.0588,30.3941,1.6469,1.1442,0.0105,4,3,7
17879,9:30,6WLTE,7.5779,9.4039,0.4322,0.1489,8.7075,1.2337,1.1895,0.0102,5,5,10
23154,11:30,3ALTE,15.1258,2.2263,0.6491,0.0709,46.4457,6.618,1.2773,1.1151,5,5,10
19123,0:15,4BLTE,10.509,0.909,0.15,0.029,12.427,0.368,1.132,1.071,4,3,7
21812,9:30,6ALTE,12.631,1.314,0.346,0.072,12.486,5.183,1.182,0.01,4,3,7
3937,20:30,7BLTE,0.505,1.516,0.419,0.079,22.769,2.864,1.384,0.01,5,3,8
17278,16:30,6BLTE,19.6956,4.3407,1.2077,0.066,35.3329,1.4665,1.2723,0.0105,5,3,8
8719,19:30,4CLTE,21.018,2.829,0.74,0.071,24.704,0.813,1.394,1.283,7,5,12
11645,10:00,1CLTE,21.726,2.425,0.611,0.071,24.062,0.556,1.283,1.202,6,5,11
8052,15:00,4CLTE,22.029,4.749,0.942,0.089,11.267,0.981,1.374,1.384,6,6,12
953,15:45,5CLTE,20.21,2.122,0.581,0.059,21.049,0.669,1.465,1.071,7,4,11
8812,1:00,3ALTE,7.478,1.112,0.279,0.035,17.76,0.918,1.091,1.051,3,3,6
17541,21:15,3CLTE,4.8472,0.6341,0.0702,0.0153,4.4203,0.2524,1.0892,1.0321,3,2,5
18546,16:00,3BLTE,16.875,6.871,1.8,0.084,19.146,0.546,1.394,1.334,6,5,11
35865,23:00,7CLTE,0.101,0.404,0.052,0.019,2.587,0.318,1.061,0.01,3,2,5
21281,6:00,7WLTE,0.101,0.808,0.043,0.008,2.895,0.134,1.051,0.01,3,2,5
31781,20:30,9BLTE,2.627,0.606,0.089,0.012,3.58,0.165,1.021,1.011,2,2,4
13130,3:30,6VLTE,0.808,1.213,0.064,0.019,5.478,0.345,1.101,0.01,4,3,7
30688,21:15,5BLTE,11.2086,1.2667,0.379,0.0337,16.0342,0.4976,1.1649,1.0975,5,3,8
3215,4:30,6CLTE,1.92,0.505,0.164,0.018,3.064,0.224,1.051,0.01,2,2,4
6069,17:45,7ALTE,0.808,2.425,0.548,0.078,23.187,0.925,1.475,0.01,6,4,10
678,0:30,7VLTE,0.909,3.638,0.655,0.042,16.483,1.096,1.192,0.01,5,3,8
6415,4:15,1ALTE,4.648,0.707,0.181,0.016,29.933,0.721,1.031,1.011,2,2,4
29115,17:15,6ALTE,6.041,1.2061,0.5966,0.0391,14.6219,0.7532,1.1056,0.0103,4,2,6
7737,23:00,10BLTE,2.93,0.707,0.219,0.018,10.186,0.287,1.041,1.011,3,2,5
35705,14:30,6WLTE,2.425,3.032,0.532,0.062,20.481,2.193,1.314,0.01,5,3,8
17860,4:15,6CLTE,0.505,0.404,0.022,0.016,0.268,0.148,1.021,0.01,2,2,4
32985,1:15,6CLTE,2.3197,0.5277,0.0619,0.0171,3.8245,0.2174,1.1019,0.0105,3,3,6
28190,23:45,7ULTE,0.6415,2.2571,0.5411,0.0339,22.2225,0.622,1.0492,0.0101,5,2,7
4745,23:00,7VLTE,0.808,2.324,0.25,0.02,4.71,0.322,1.122,0.01,4,3,7
18916,3:15,10ALTE,2.4038,0.4981,0.1392,0.0168,5.0321,0.2515,1.0642,1.0693,3,2,5
6527,21:00,3CLTE,8.8633,1.7357,0.9245,0.0596,30.2279,2.063,1.1831,1.0567,5,3,8
3576,18:15,2ALTE,0.1052,0.4121,0.0104,0.006,0.046,0.0301,1.0621,0.0106,2,1,3
32344,16:00,4BLTE,16.0708,2.256,0.703,0.065,30.0411,0.7069,1.346,1.0802,6,4,10
2230,10:00,6WLTE,2.223,5.558,1.198,0.088,25.374,0.719,1.283,0.01,6,4,10
17766,11:00,1BLTE,6.4615,0.9941,0.2021,0.0291,14.2646,0.6337,1.1451,1.06,4,4,8
10672,6:15,7CLTE,0.0,0.404,0.03,0.012,0.374,0.194,1.031,0.01,2,2,4
20715,13:15,6CLTE,6.8316,1.2462,0.4552,0.0613,24.605,6.3522,1.1449,0.0105,5,2,7
3316,18:00,7ALTE,0.909,2.122,0.498,0.076,17.881,1.932,1.324,0.01,6,3,9
30635,6:30,10ALTE,2.425,0.505,0.113,0.016,17.494,0.375,1.031,1.011,3,2,5
18036,9:45,5ALTE,4.0723,0.6215,0.0887,0.0297,3.6348,0.7605,1.0587,1.0513,4,3,7
14856,7:15,10CLTE,1.415,0.606,0.206,0.02,4.367,0.227,1.021,1.011,2,2,4
32380,21:15,7ULTE,1.112,2.627,0.467,0.052,22.493,0.877,1.293,0.01,5,3,8
33643,22:15,8CLTE,1.4594,0.6406,0.1727,0.0278,7.2184,0.47,1.0465,1.0602,3,2,5
33919,5:45,5CLTE,6.669,0.606,0.113,0.013,16.202,0.891,1.091,1.041,3,3,6
29543,7:00,6WLTE,0.303,0.909,0.024,0.008,0.758,0.111,1.051,0.01,3,2,5
24450,6:00,4BLTE,3.638,0.808,0.252,0.013,10.156,0.268,1.061,1.021,3,2,5
20241,17:15,8ALTE,23.039,3.436,0.891,0.14,14.626,9.395,1.485,1.273,10,5,15
25667,0:15,8ALTE,13.945,1.819,0.692,0.088,16.336,1.139,1.233,1.051,4,3,7
1178,3:30,10ALTE,2.1571,0.6024,0.0942,0.0122,5.3759,0.1742,1.0728,1.058,3,2,5
22919,13:00,7BLTE,0.707,3.133,1.655,0.096,58.63,1.608,1.415,0.01,6,3,9
6903,7:00,10BLTE,0.4095,0.423,0.0344,0.0113,0.6961,0.1338,1.0137,1.009,1,1,2
13565,7:30,7ALTE,0.0,0.4055,0.1177,0.015,1.9123,0.2187,1.0964,0.0101,3,2,5
4349,16:00,7WLTE,3.234,7.074,0.978,0.077,52.57,0.698,1.314,0.01,6,4,10
16711,1:30,7WLTE,0.202,0.909,0.101,0.011,4.87,0.258,1.021,0.01,3,2,5
16040,16:15,1CLTE,28.193,4.143,0.965,0.12,48.393,1.243,1.496,1.445,6,7,13
688,7:45,7ALTE,0.202,1.011,0.388,0.032,14.919,0.85,1.041,0.01,3,2,5
